id,name,city,state,country_code,latitude,longitude
1,"BERGAMO, LOMBARDY, IT",Bergamo,Lombardy,IT,45.69601,9.66721
2,"BOCA RATON, FLORIDA, US",Boca Raton,Florida,US,26.35869,-80.0831
3,"BRATISLAVA, BRATISLAVA REGION, SK",Bratislava,Bratislava Region,SK,48.14816,17.10674
4,"BRESCIA, LOMBARDY, IT",Brescia,Lombardy,IT,45.53558,10.21472
5,"BRUSSELS, BRUSSELS CAPITAL, BE",Brussels,Brussels Capital,BE,50.85045,4.34878
6,"CASTLE DONINGTON, ENGLAND, GB",Castle Donington,England,GB,52.84291,-1.34188
7,"CINCINNATI, OHIO, US",Cincinnati,Ohio,US,39.12711,-84.51439
8,"COLOGNE, NORTH RHINE-WESTPHALIA, DE",Cologne,North Rhine-Westphalia,DE,50.93333,6.95
9,"DONGGUAN, GUANGDONG, CN",Dongguan,Guangdong,CN,23.01797,113.74866
10,"DUBAI, DUBAI, AE",Dubai,Dubai,AE,25.07725,55.30927
11,"FARGO, NORTH DAKOTA, US",Fargo,North Dakota,US,46.87719,-96.7898
12,"FORT WORTH, TEXAS, US",Fort Worth,Texas,US,32.72541,-97.32085
13,"FRANKFURT AM MAIN, HESSE, DE",Frankfurt am Main,Hesse,DE,50.11552,8.68417
14,"GAZZANIGA, LOMBARDY, IT",Gazzaniga,Lombardy,IT,45.79339,9.82976
15,"GDANSK, POMERANIA, PL",Gdansk,Pomerania,PL,54.35227,18.64912
16,"GRAND PRAIRIE, TEXAS, US",Grand Prairie,Texas,US,32.74596,-96.99778
17,"GRASSOBBIO, LOMBARDY, IT",Grassobbio,Lombardy,IT,45.65688,9.72565
18,"GUANGZHOU, GUANGDONG, CN",Guangzhou,Guangdong,CN,23.11667,113.25
19,"HO CHI MINH CITY, HO CHI MINH, VN",Ho Chi Minh City,Ho Chi Minh,VN,10.82302,106.62965
20,"HONG KONG, UNKNOWN, HK",Hong Kong,,HK,22.27832,114.17469
21,"ISTANBUL, ISTANBUL, TR",Istanbul,Istanbul,TR,41.01384,28.94966
22,"LEEDS, ENGLAND, GB",Leeds,England,GB,53.79648,-1.54785
23,"LEIPZIG, SAXONY, DE",Leipzig,Saxony,DE,51.33962,12.37129
24,"LONATE POZZOLO, LOMBARDY, IT",Lonate Pozzolo,Lombardy,IT,45.59213,8.75194
25,"LONDON, ENGLAND, GB",London,England,GB,51.50853,-0.12574
26,"LOUISVILLE, KENTUCKY, US",Louisville,Kentucky,US,38.25424,-85.75941
27,"MANSFIELD, TEXAS, US",Mansfield,Texas,US,32.56319,-97.14168
28,"MINNEAPOLIS, MINNESOTA, US",Minneapolis,Minnesota,US,44.97997,-93.26384
29,"NEW DELHI, DELHI, IN",New Delhi,Delhi,IN,28.62137,77.2148
30,"NEW YORK, NEW YORK, US",New York,New York,US,40.71427,-74.00597
31,"NEWARK, DELAWARE, US",Newark,Delaware,US,39.68372,-75.74966
32,"PARIS, ÎLE-DE-FRANCE, FR",Paris,Île-de-France,FR,48.85341,2.3488
33,"PEABODY, MASSACHUSETTS, US",Peabody,Massachusetts,US,42.52787,-70.92866
34,"RIFFA, SOUTHERN GOVERNORATE, BH",Riffa,Southern Governorate,BH,26.13,50.555
35,"ROME, LAZIO, IT",Rome,Lazio,IT,41.89193,12.51133
36,"SAN JOSÉ, SAN JOSÉ, CR",San José,San José,CR,9.93388,-84.08489
37,"SERIATE, LOMBARDY, IT",Seriate,Lombardy,IT,45.68532,9.72487
38,"SHENZHEN, GUANGDONG, CN",Shenzhen,Guangdong,CN,22.54554,114.0683
39,"THIEF RIVER FALLS, MINNESOTA, US",Thief River Falls,Minnesota,US,48.11914,-96.18115
40,"TREVIOLO, LOMBARDY, IT",Treviolo,Lombardy,IT,45.67368,9.61195
41,"WARSAW, MAZOVIA, PL",Warsaw,Mazovia,PL,52.22977,21.01178
42,"ZHUHAI, GUANGDONG, CN",Zhuhai,Guangdong,CN,22.27694,113.56778
