id,site_id,carrier_id,created_at,median,mean,std_dev,n
1,1,2,2025-07-19T11:14+00:00,38.21666666666667,46.193333333333335,33.323087758756365,5
2,2,2,2025-07-19T11:14+00:00,29.9,29.9,0.0,1
3,3,2,2025-07-19T11:14+00:00,68.39166666666667,67.92416666666666,22.018687438804744,20
4,4,3,2025-07-19T11:14+00:00,39.56666666666667,57.913333333333334,25.196382897374598,5
5,5,3,2025-07-19T11:14+00:00,112.61666666666666,112.61666666666666,0.0,1
6,6,4,2025-07-19T11:14+00:00,43.9,43.9,0.0,1
7,7,1,2025-07-19T11:14+00:00,73.4,73.4,0.0,1
8,7,3,2025-07-19T11:14+00:00,94.53333333333333,94.53333333333333,0.0,1
9,8,1,2025-07-19T11:14+00:00,116.96666666666667,116.96666666666667,0.0,1
10,9,1,2025-07-19T11:14+00:00,53.333333333333336,53.333333333333336,0.0,1
11,10,3,2025-07-19T11:14+00:00,119.18333333333334,119.18333333333334,0.0,1
12,11,4,2025-07-19T11:14+00:00,25.033333333333335,25.033333333333335,0.0,1
13,12,4,2025-07-19T11:14+00:00,169.11666666666667,169.11666666666667,0.0,1
14,13,3,2025-07-19T11:14+00:00,61.31666666666667,61.31666666666667,0.0,1
15,14,4,2025-07-19T11:14+00:00,66.71666666666667,66.71666666666667,0.0,1
16,15,4,2025-07-19T11:14+00:00,17.25,18.616666666666667,1.9919746391364932,3
17,16,4,2025-07-19T11:14+00:00,76.63333333333334,82.90555555555555,10.600282432761917,3
18,17,4,2025-07-19T11:14+00:00,42.833333333333336,42.833333333333336,0.0,1
19,18,4,2025-07-19T11:14+00:00,49.8,49.8,0.0,1
20,19,1,2025-07-19T11:14+00:00,66.1,66.1,0.0,1
